id,is_softdev,is_first_softdev_job,months_jobsearch,work_pref,career_fullstack,career_backend,career_frontend,career_mobdev,career_devops,career_datasci,career_teach,career_qa,career_ux,career_prodm,career_gamedev,career_infosec,career_dataeng,career_other,job_start,salary_frstjob,loc_pref,will_reloc,code_goal,code_goal_other,rsrc_fcc,rsrc_mdn,rsrc_stack,rsrc_edx,rsrc_coursera,rsrc_khan,rsrc_pluralsight,rsrc_codecademy,rsrc_udacity,rsrc_udemy,rsrc_codewars,rsrc_treehouse,rsrc_HackerRank,rsrc_fem,rsrc_lynda,rsrc_egghead,rsrc_csstricks,rsrc_other,codeevent_fcc,codeevent_hckathon,codeevent_conf,codeevent_wrkshp,codeevent_startupwknd,codeevent_nodeschool,codeevent_wwc,codeevent_gdi,codeevent_coderdojo,codeevent_meetupcom,codeevent_railsbridge,codeevent_gamejam,codeevent_railsgrl,codeevent_djangogrl,codeevent_wkndbootcmp,codeevent_other,codepodcast_fcc,codepodcast_codenewbie,codepodcast_changelog,codepodcast_sed,codepodcast_jsjabber,codepodcast_syntax,codepodcast_ltcwm,codepodcast_fullstckrad,codepodcast_frntendhh,codepodcast_codeblck,codepodcast_sts,codepodcast_devtea,codepodcast_prgthrdwn,codepodcast_gkspk,codepodcast_hanselmins,codepodcast_tlkpython,codepodcast_rubyrogues,codepodcast_codepen,codepodcast_ser,codepodcast_other,codeyt_mit,codeyt_fcc,codeyt_comphile,codeyt_devtips,codeyt_csdojo,codeyt_engtruth,codeyt_learncode,codeyt_lvluptuts,codeyt_fff,codeyt_ct360,codeyt_codetrain,codeyt_drkbanas,codeyt_simplilrn,codeyt_bulldog,codeyt_mozilla,codeyt_googledev,codeyt_other,hrs_study,months_code,bootcamp_attend,bootcamp_name,boothcamp_finish,boothcamp_loan,boothcamp_recommend,amt_spent_code,age,gender,gender_other,citizenship,residence,rsdnce_pop,is_etnic_grp,speaking_lang,degree,major,marital,has_financial_dep,has_chldren,num_children,is_spprt_relative,has_debt,has_mortgage,amt_mortgage,has_studloan,amt_studloan,employmnt_stat,employmnt_stat_other,field,lastyr_income,workperday_min,is_underemployed,served_military,has_disability_bnft,has_internet,ts_start,ts_end,network_id
bb5fff7f32b256841a9b64b560c4289a,0,NA,NA,work for a startup,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,more than 12 months from now,75000,no preference,0,To start a business or to freelance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,24,Female,NA,United States of America,United States of America,more than 1 million,1,Bengali,bachelor's degree,Communication Sciences and Disorders,married or domestic partnership,1,0,0,0,0,NA,NA,NA,NA,Employed for wages,NA,sales,13000,Less than 15 minutes,1,0,0,1,2018-09-06T22:17:53Z,2018-09-06T22:27:10Z,e9d723bbb6
e1c708b274aa63ccea0e0cde91e8f608,0,NA,NA,freelance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,NA,NA,NA,NA,0,35,Male,NA,South Africa,South Africa,"between 100,000 and 1 million",1,English,high school diploma or equivalent (GED),NA,married or domestic partnership,1,0,0,0,1,0,NA,0,NA,Not working but looking for work,NA,NA,NA,NA,NA,0,0,1,2018-09-06T21:42:51Z,2018-09-06T21:47:18Z,a662af6312
d4cee581393555894401e2ab5da78f64,0,NA,NA,work for a startup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,I haven't decided,0,no preference,0,As a hobby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Codigo Facilito xD,5,1,0,NA,NA,NA,NA,0,18,Male,NA,Mexico,Mexico,"between 100,000 and 1 million",0,Spanish,"some college credit, no degree",Software Engineering,"single, never married",1,0,0,0,0,NA,NA,NA,NA,Employed for wages,NA,office and administrative support,2400,45 to 60 minutes,1,0,0,0,2018-09-06T17:47:42Z,2018-09-06T17:56:13Z,ef4026cdc9
9de33c27fea6ae8c27585b068595f2ba,0,NA,NA,freelance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,0,NA,NA,NA,NA,0,35,Male,NA,India,India,more than 1 million,0,Hindi,"some college credit, no degree",Accounting,married or domestic partnership,1,0,0,0,1,0,NA,0,NA,Employed for wages,NA,finance,10000,15 to 29 minutes,1,0,0,1,2018-09-06T17:25:38Z,2018-09-06T17:32:00Z,0ff1946c17
c572b90bdd009324a5d4108471d8b7e7,0,NA,NA,start your own business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,0,NA,NA,NA,NA,0,59,Male,NA,United States of America,United States of America,"between 100,000 and 1 million",1,English,master's degree (non-professional),Public Health,divorced,1,0,0,0,1,1,75000,1,10000,Employed for wages,NA,construction and extraction,106000,30 to 44 minutes,1,0,0,1,2018-09-06T16:50:15Z,2018-09-06T17:03:15Z,7f1c594654
0c1711f8c8f6c552740fa9d01a6db3cc,0,NA,NA,work for a multinational corporation,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,I haven't decided,55000,no preference,1,To change careers,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,NA,NA,NA,NA,1800,30,Female,NA,Taiwan,Australia,more than 1 million,1,Chinese,bachelor's degree,Literature,married or domestic partnership,1,0,0,0,1,0,NA,1,30000,Not working and not looking for work,NA,NA,NA,NA,NA,0,0,1,2018-09-06T13:57:55Z,2018-09-06T14:06:47Z,1d97f0bcc8
fdbb12ce5a870225417b093eb8b12783,0,NA,NA,work for a multinational corporation,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,more than 12 months from now,6000,from home,NA,To change careers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,0,28,Male,NA,Venezuela,Chile,"less than 100,000",0,Spanish,bachelor's degree,Chemical Engineering,married or domestic partnership,1,0,0,1,0,NA,NA,NA,NA,Not working but looking for work,NA,NA,NA,NA,NA,0,0,1,2018-09-06T12:27:13Z,2018-09-06T12:35:15Z,fb9a278d5a
a0b4cf4247affd766865ff621648edb3,0,NA,NA,start your own business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,48,1,0,NA,NA,NA,NA,NA,23,Male,NA,Nambia,Nambia,"between 100,000 and 1 million",1,English,bachelor's degree,Accounting Technician and Bookkeeping,"single, never married",1,0,0,1,0,NA,NA,NA,NA,Self-employed business owner,NA,finance,2000,Less than 15 minutes,0,0,0,0,2018-09-06T11:36:18Z,2018-09-06T11:43:16Z,d670f6f2fc
01b52f7936a3eb3bf9829ba872c5417a,0,NA,NA,work for a startup,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,Within the next 6 months,40000,in an office with other developers,1,To create art or entertainment,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OStraining,54,1,0,NA,NA,NA,NA,0,22,Male,NA,India,India,more than 1 million,0,Kannada,bachelor's degree,Automotive Engineering,"single, never married",1,0,0,1,0,NA,NA,NA,NA,Employed for wages,NA,software development and IT,0,Less than 15 minutes,0,0,0,1,2018-09-06T07:56:42Z,2018-09-06T08:04:02Z,600ce63215
4efa3a432a68988a2cf3973f4a91b5de,0,NA,NA,work for a medium-sized company,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,I'm already applying,NA,in an office with other developers,1,To change careers,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,NA,NA,NA,NA,NA,27,Female,NA,India,India,"between 100,000 and 1 million",0,Marathi,bachelor's degree,Computer and Information Studies,"single, never married",1,0,0,1,0,NA,NA,NA,NA,Not working but looking for work,NA,NA,NA,NA,NA,0,0,1,2018-09-06T06:53:47Z,2018-09-06T07:25:20Z,1ff0482502
